tweetid,user,content,date,lang,sentiment/polarity/value
770976639173951488,noseashetero,@noseashetero 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨,2016-08-31 13:28:49,es,P
771092421866389508,Templelx,@piscolabisaereo @HistoriaNG @SPosteguillo las tengo pero aún no las he leído. Caerán prontito,2016-08-31 21:08:54,es,P
771092111429083136,esskuu94,"Al final han sido 3h  Bueno, mañana tengo fiesta así que.. No me quejo",2016-08-31 21:07:40,es,P
771092070572449796,__ariadna9,@Jorge_Ruiz14 yo no tengo tiempo para esas cosas ahora mismo,2016-08-31 21:07:30,es,N
771094192508600320,_cristtina15_,@_MissChaotic_ ves ese brillo? es un coso que hace que se sepan a kk,2016-08-31 21:15:56,es,N
771116956518875137,JSorgex,Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?,2016-08-31 22:46:23,es,P
771115324884262912,Escarolilla,"@juankipua Es que en el Ojeando el año pasado tampoco, tiene muchas canciones ya jajajajaja",2016-08-31 22:39:54,es,NEU
771118683414560768,KaichiZick95,"Bueno, estoy en la batalla final del Conquista y ya después me faltaría Revelación",2016-08-31 22:53:15,es,NONE
770550748107202560,carlosnmr,@CondeDuqueMAD ¿mañana sábado 31? En que día vives?  Mañana es miércoles 31.,2016-08-30 09:16:29,es,NONE
770549862500802560,hermesni,"@agcasti y el caminante ante el mar de niebla, uno de mis cuadros favoritos en portada",2016-08-30 09:12:58,es,P
770549380294336512,lameri86,@vitojph ¡sí! Y me ha encantado  ¿Tú ya las visto? ¿Cuándo comentamos?,2016-08-30 09:11:03,es,P
770558771219271680,aladroqe,@aladroqe Se me olvidaban los grandes @2qblog y @estapillao ! A ver si os interesa es hilillo,2016-08-30 09:48:22,es,NONE
770558626788507648,the_heruman,"@pendragoncillo Mejor si pones un link a la cuenta, me ha costado encontrarte..",2016-08-30 09:47:47,es,N
770555355491426305,CharlieSkelter,@Majoras_Mark Por?  Tenía pensado verla después de la segunda de Daredevil,2016-08-30 09:34:47,es,NONE
770554917685719040,Jess_BipOlateD,"@SoofRawr + ni el de al lado, la ""manita"" que usas para que se vea como más negro",2016-08-30 09:33:03,es,NONE
770527686116700160,Mrjunjo,Llevo despierto desde las 8 porque un puto mosquito estaba volando en mi puta oreja y,2016-08-30 07:44:50,es,N
770521682842877953,ElisaZamora,@ArchivoSGAE Qué estupendo. Y... ¿cómo os lo encargo?  ¿Es la estupendísima versión de Barce..?,2016-08-30 07:20:59,es,P
770470969085464578,PatriCarvajal03,Cosas que enamora las tostadas calentitas a estas horas de la mañana,2016-08-30 03:59:28,es,P
